# What Luna created — new programs, skills, absorbed tools
# Date       | Type           | File        | Description
# ----------------------------------------------------------------------
2026-03-16 22:11 | absorbed tool  | to_lower.py  | Convert all keys in a JSON object to lowercase
2026-03-17 12:14 | evolved        | dict_values_first_lowercase_except_dict_.py | Convert dictionary values to lowercase except for dictionary values
2026-03-17 12:24 | absorbed tool  | remove_empty_values.py | Remove empty values from a JSON object
2026-03-17 12:24 | evolved        | remove_empty_values.py | Remove empty values from a JSON object
2026-03-17 12:34 | absorbed tool  | dict_values_first_lowercase_except_list.py | Convert dict values to lowercase, except for list values
2026-03-17 12:34 | evolved        | dict_values_first_lowercase_except_list.py | Convert dict values to lowercase, except for list values
2026-03-17 12:44 | absorbed tool  | lower_values_dict_case.py | Convert dictionary values to lowercase using a custom case
2026-03-17 12:44 | evolved        | lower_values_dict_case.py | Convert dictionary values to lowercase using a custom case
2026-03-17 12:54 | absorbed tool  | remove_first_item_from_list.py | removes the first item from a list in a JSON object
2026-03-17 12:54 | evolved        | remove_first_item_from_list.py | removes the first item from a list in a JSON object
2026-03-17 13:04 | absorbed tool  | keys_first_lowercase.py | prints a list of dictionary keys in lowercase order
2026-03-17 13:04 | evolved        | keys_first_lowercase.py | prints a list of dictionary keys in lowercase order
2026-03-17 13:14 | absorbed tool  | remove_empty_values.py | Remove empty values from JSON input
2026-03-17 13:14 | evolved        | remove_empty_values.py | Remove empty values from JSON input
2026-03-17 13:24 | absorbed tool  | dict_keys_lower_case_except_first.py | Print lowercase first key, else keys as is
2026-03-17 13:24 | evolved        | dict_keys_lower_case_except_first.py | Print lowercase first key, else keys as is
2026-03-17 13:34 | absorbed tool  | dict_values_lowercase_except_list.py | Convert all values in a dictionary to lowercase except for those in lists
2026-03-17 13:34 | evolved        | dict_values_lowercase_except_list.py | Convert all values in a dictionary to lowercase except for those in lists
2026-03-17 13:44 | absorbed tool  | dict_values_first_lowercase_except_dict_.py | Converts dictionary values to lowercase except for dictionaries
2026-03-17 13:44 | evolved        | dict_values_first_lowercase_except_dict_.py | Converts dictionary values to lowercase except for dictionaries
2026-03-17 13:54 | absorbed tool  | dict_values_first_lowercase_except_dict_.py | Convert dictionary values to lowercase except for dictionary values
2026-03-17 13:54 | evolved        | dict_values_first_lowercase_except_dict_.py | Convert dictionary values to lowercase except for dictionary values
2026-03-17 14:04 | absorbed tool  | dict_values_first_lowercase_except_list.py | Lowercase dictionary values except for lists
2026-03-17 14:04 | evolved        | dict_values_first_lowercase_except_list.py | Lowercase dictionary values except for lists
2026-03-17 14:14 | absorbed tool  | dict_key_case_except_first_dict_value.py | Convert dictionary keys to case, except for values that are dictionaries
2026-03-17 14:14 | evolved        | dict_key_case_except_first_dict_value.py | Convert dictionary keys to case, except for values that are dictionaries
2026-03-17 14:24 | absorbed tool  | dict_key_case_with_space.py | Convert keys to lowercase except for those with a space
2026-03-17 14:24 | evolved        | dict_key_case_with_space.py | Convert keys to lowercase except for those with a space
2026-03-17 14:44 | absorbed tool  | dict_value_lowercase_except_first_n.py | Lowercase all values except the first n specified by a value
2026-03-17 14:44 | evolved        | dict_value_lowercase_except_first_n.py | Lowercase all values except the first n specified by a value
2026-03-17 14:54 | absorbed tool  | dict_case_first_always.py | Case convert entire dictionary to always lowercase except for keys that start with a specified prefi
2026-03-17 14:54 | evolved        | dict_case_first_always.py | Case convert entire dictionary to always lowercase except for keys that start with a specified prefi
2026-03-17 15:04 | absorbed tool  | dict_key_case_first_always.py | Changes key case to always uppercase except for first occurrence
2026-03-17 15:04 | evolved        | dict_key_case_first_always.py | Changes key case to always uppercase except for first occurrence
2026-03-17 15:14 | absorbed tool  | upper_keys.py | Convert all dictionary keys to uppercase
2026-03-17 15:14 | evolved        | upper_keys.py | Convert all dictionary keys to uppercase
2026-03-17 15:24 | absorbed tool  | dict_case_everywhere_except_first_and_la.py | Lowercase all keys except for the first and last ones in a dictionary
2026-03-17 15:24 | evolved        | dict_case_everywhere_except_first_and_la.py | Lowercase all keys except for the first and last ones in a dictionary
2026-03-17 15:34 | absorbed tool  | dict_lower_case_all_except_first_values_.py | Convert dictionary values to lowercase except for lists
2026-03-17 15:34 | evolved        | dict_lower_case_all_except_first_values_.py | Convert dictionary values to lowercase except for lists
2026-03-17 15:44 | absorbed tool  | dict_case_lowercase_keys.py | Lowercases keys in a dictionary while preserving values
2026-03-17 15:44 | evolved        | dict_case_lowercase_keys.py | Lowercases keys in a dictionary while preserving values
2026-03-17 15:54 | absorbed tool  | dict_case_with_space_regex.py | Convert dictionary keys to lowercase except for values that contain a space
2026-03-17 15:54 | evolved        | dict_case_with_space_regex.py | Convert dictionary keys to lowercase except for values that contain a space
2026-03-17 16:04 | absorbed tool  | dict_case_everywhere_except_first_last.py | Convert all values except first and last to lowercase
2026-03-17 16:04 | evolved        | dict_case_everywhere_except_first_last.py | Convert all values except first and last to lowercase
2026-03-17 16:14 | absorbed tool  | remove_empty_values.py | Removes all empty string values from a JSON object
2026-03-17 16:14 | evolved        | remove_empty_values.py | Removes all empty string values from a JSON object
2026-03-17 16:24 | absorbed tool  | add_suffix_to_values.py | Add a suffix to values in a dictionary
2026-03-17 16:24 | evolved        | add_suffix_to_values.py | Add a suffix to values in a dictionary
2026-03-17 16:34 | absorbed tool  | remove_keys_from_values.py | Removes specified keys from all values in a dictionary
2026-03-17 16:34 | evolved        | remove_keys_from_values.py | Removes specified keys from all values in a dictionary
2026-03-17 16:44 | absorbed tool  | dict_case_everywhere_except_first_last_a.py | Convert all keys to lowercase except for the first and last characters which are capitalized
2026-03-17 16:44 | evolved        | dict_case_everywhere_except_first_last_a.py | Convert all keys to lowercase except for the first and last characters which are capitalized
2026-03-17 16:54 | absorbed tool  | trim_values.py | Trims whitespace from all string values in a dictionary
2026-03-17 16:54 | evolved        | trim_values.py | Trims whitespace from all string values in a dictionary
2026-03-17 17:04 | absorbed tool  | dict_case_everywhere_except_first_and_la.py | Convert all values in a dictionary to lowercase except for the first and last keys
2026-03-17 17:04 | evolved        | dict_case_everywhere_except_first_and_la.py | Convert all values in a dictionary to lowercase except for the first and last keys
2026-03-17 17:15 | absorbed tool  | dict_key_case_invert.py | Inverts the key case of a dictionary
2026-03-17 17:15 | evolved        | dict_key_case_invert.py | Inverts the key case of a dictionary
2026-03-17 17:25 | absorbed tool  | to_dict_values.py | Convert all values in a dictionary to strings
2026-03-17 17:25 | evolved        | to_dict_values.py | Convert all values in a dictionary to strings
2026-03-17 17:35 | absorbed tool  | add_suffix_to_list.py | Add a suffix to all list elements in a dictionary value
2026-03-17 17:35 | evolved        | add_suffix_to_list.py | Add a suffix to all list elements in a dictionary value
2026-03-17 17:45 | absorbed tool  | dict_case_except_first_value_list.py | Converts all values in a dictionary except for the first one to lowercase
2026-03-17 17:45 | evolved        | dict_case_except_first_value_list.py | Converts all values in a dictionary except for the first one to lowercase
2026-03-17 17:55 | absorbed tool  | dict_case_except_first_value_list.py | Case-converts all values in a dictionary except the first value
2026-03-17 17:55 | evolved        | dict_case_except_first_value_list.py | Case-converts all values in a dictionary except the first value
2026-03-17 18:05 | absorbed tool  | trim_json.py | Removes leading and trailing whitespace from JSON values
2026-03-17 18:05 | evolved        | trim_json.py | Removes leading and trailing whitespace from JSON values
2026-03-17 18:15 | absorbed tool  | dict_case_first_always_2.py | Converts all keys to lowercase except for the first one which is capitalized
2026-03-17 18:15 | evolved        | dict_case_first_always_2.py | Converts all keys to lowercase except for the first one which is capitalized
2026-03-17 18:25 | absorbed tool  | dict_case_always_last.py | Convert dictionary keys to lowercase except for last one
2026-03-17 18:25 | evolved        | dict_case_always_last.py | Convert dictionary keys to lowercase except for last one
2026-03-17 18:36 | absorbed tool  | count_dict_values.py | Count the total number of values in a dictionary
2026-03-17 18:36 | evolved        | count_dict_values.py | Count the total number of values in a dictionary
2026-03-17 18:47 | absorbed tool  | strip_json_keys.py | Remove keys from a JSON object while preserving its values
2026-03-17 18:47 | evolved        | strip_json_keys.py | Remove keys from a JSON object while preserving its values
2026-03-17 18:57 | absorbed tool  | dict_case_everywhere_except_first_last_a.py | Convert all dictionary values except first last to lowercase alphabetically
2026-03-17 18:57 | evolved        | dict_case_everywhere_except_first_last_a.py | Convert all dictionary values except first last to lowercase alphabetically
2026-03-17 19:17 | absorbed tool  | parse_nested_json.py | Parse nested JSON from stdin to a Python dictionary
2026-03-17 19:17 | evolved        | parse_nested_json.py | Parse nested JSON from stdin to a Python dictionary
2026-03-17 19:27 | absorbed tool  | print_json_keys_only.py | Print keys of a JSON dictionary on one line
2026-03-17 19:27 | evolved        | print_json_keys_only.py | Print keys of a JSON dictionary on one line
2026-03-17 19:37 | absorbed tool  | print_dict_values_sum.py | Sum of values in a dictionary
2026-03-17 19:37 | evolved        | print_dict_values_sum.py | Sum of values in a dictionary
2026-03-17 19:47 | absorbed tool  | strip_keys_with_empty_values.py | Strips keys with empty values from a JSON object
2026-03-17 19:47 | evolved        | strip_keys_with_empty_values.py | Strips keys with empty values from a JSON object
2026-03-17 19:57 | absorbed tool  | remove_suffix_from_list.py | Removes a suffix from all list elements in a JSON object
2026-03-17 19:57 | evolved        | remove_suffix_from_list.py | Removes a suffix from all list elements in a JSON object
2026-03-17 20:07 | absorbed tool  | add_suffix_to_set.py | Adds a suffix to each value in a set
2026-03-17 20:07 | evolved        | add_suffix_to_set.py | Adds a suffix to each value in a set
2026-03-17 20:16 | absorbed tool  | dict_key_case_lower_first.py | Convert dictionary keys to lowercase except for the first key
2026-03-17 20:16 | evolved        | dict_key_case_lower_first.py | Convert dictionary keys to lowercase except for the first key
2026-03-17 20:26 | absorbed tool  | dict_case_everywhere_except_last_and_a.py | Convert all keys to lowercase except last one which remains unchanged and first word is capitalized
2026-03-17 20:26 | evolved        | dict_case_everywhere_except_last_and_a.py | Convert all keys to lowercase except last one which remains unchanged and first word is capitalized
2026-03-17 20:28 | absorbed tool  | add_prefix_to_dict_values.py | Adds a prefix to all values in a dictionary
2026-03-17 20:28 | evolved        | add_prefix_to_dict_values.py | Adds a prefix to all values in a dictionary
2026-03-17 20:38 | absorbed tool  | dict_key_case_all_except_first_and_la.py | Lowercase keys in all other cases except for the first character
2026-03-17 20:38 | evolved        | dict_key_case_all_except_first_and_la.py | Lowercase keys in all other cases except for the first character
2026-03-17 20:58 | absorbed tool  | dict_case_everywhere_except_last_and_a.py | Case convert all keys except last and append 'a' to values
2026-03-17 20:58 | evolved        | dict_case_everywhere_except_last_and_a.py | Case convert all keys except last and append 'a' to values
2026-03-17 21:08 | absorbed tool  | dict_case_everywhere_except_first_and_la.py | Convert dictionary values to lowercase everywhere except for the first and last characters
2026-03-17 21:08 | evolved        | dict_case_everywhere_except_first_and_la.py | Convert dictionary values to lowercase everywhere except for the first and last characters
2026-03-17 21:18 | absorbed tool  | dict_case_everywhere_except_first_and_la.py | Convert all dictionary values to lowercase except for keys that start with 'la'
2026-03-17 21:18 | evolved        | dict_case_everywhere_except_first_and_la.py | Convert all dictionary values to lowercase except for keys that start with 'la'
2026-03-17 21:28 | absorbed tool  | dict_keys_lowercase.py | Convert dictionary keys to lowercase
2026-03-17 21:28 | evolved        | dict_keys_lowercase.py | Convert dictionary keys to lowercase
2026-03-17 21:38 | absorbed tool  | dict_case_first_key.py | Convert all keys in a dictionary to lowercase except for the first key which remains unchanged
2026-03-17 21:38 | evolved        | dict_case_first_key.py | Convert all keys in a dictionary to lowercase except for the first key which remains unchanged
2026-03-17 21:58 | absorbed tool  | find_first_non_empty_value.py | Find the first non-empty value in a dictionary
2026-03-17 21:58 | evolved        | find_first_non_empty_value.py | Find the first non-empty value in a dictionary
2026-03-17 22:08 | absorbed tool  | dict_case_everywhere_except_last.py | Converts all keys to lowercase except the last one
2026-03-17 22:08 | evolved        | dict_case_everywhere_except_last.py | Converts all keys to lowercase except the last one
2026-03-17 22:18 | absorbed tool  | dict_key_case_invert.py | Inverts case of keys in a dictionary while keeping original values unchanged
2026-03-17 22:18 | evolved        | dict_key_case_invert.py | Inverts case of keys in a dictionary while keeping original values unchanged
2026-03-18 23:27 | absorbed tool  | dict_case_everywhere_except_last.py | Converts all keys and values in a dictionary to a specified case except for the last key-value pair
2026-03-18 23:27 | evolved        | dict_case_everywhere_except_last.py | Converts all keys and values in a dictionary to a specified case except for the last key-value pair
2026-03-18 23:37 | absorbed tool  | dict_case_always_first_key_value_list.py | Print a list of key-value pairs from a dictionary with all keys in lowercase and corresponding value
2026-03-18 23:37 | evolved        | dict_case_always_first_key_value_list.py | Print a list of key-value pairs from a dictionary with all keys in lowercase and corresponding value
2026-03-18 23:57 | absorbed tool  | dict_case_everywhere_except_last_and_a.py | Case convert all dictionary keys except last one and values
2026-03-18 23:57 | evolved        | dict_case_everywhere_except_last_and_a.py | Case convert all dictionary keys except last one and values
2026-03-19 00:07 | absorbed tool  | dict_case_random.py | Randomly selects a case from the dictionary values
2026-03-19 00:07 | evolved        | dict_case_random.py | Randomly selects a case from the dictionary values
2026-03-21 23:08 | absorbed tool  | remove_duplicates_from_list.py | Remove duplicate elements from a list in a dictionary value
